# Paladin environment v4 - optional runtime artwork, authored colors exact approved64.
# F8 / Art F8: environment sprites on/off (entities unaffected). F6: reload exports.
# id path width height pivotX pivotY elevation smooth; dimensions in logical tiles.
# Tribal buildings currently share the same thatch material/style.
house.floor environment-v4/nature/road.png 1 1 0 0 0 0
house.wall environment-v5/mud-wall.png 1 1 0 0 0 0
house.roof environment-v6/house-roof.png 3.5 3.125 0 0 0 0
house.roof.full environment-v6/house-roof.png 3.5 3.125 0.0714285714 0 1 0
house.wall.south environment-v5/mud-facade.png 3 .875 0 1 0 0 1 0 door .426 .205 .145 .71
house.wall.north environment-v5/mud-rear.png 3 .875 0 1 0 0
house.cap.south environment-v5/mud-front-cap.png 3 .125 0 1 0 0
house.cap.west environment-v5/mud-side-cap.png .125 3 0 1 0 0
house.cap.east environment-v5/mud-side-cap.png .125 3 1 1 0 0
city_keep.floor environment-v4/nature/planks.png 1 1 0 0 0 0
city_keep.wall environment-v4/buildings/wall-material.png 1 1 0 0 0 0
city_keep.roof environment-v6/house-roof.png 3.5 3.125 0 0 0 0
city_keep.roof.full environment-v6/keep-roof.png 3.5 7.125 .0714285714 0 1.25 0
city_keep.wall.south environment-v4/buildings/keep-facade.png 3 1.125 0 1 0 0 1 0 door .36 .25 .28 .66
city_keep.wall.north environment-v4/buildings/interior-wall.png 3 1.125 0 1 0 0
city_keep.cap.south environment-v4/buildings/front-cap.png 3 .125 0 1 0 0
city_keep.cap.west environment-v4/buildings/side-cap.png .125 7 0 1 0 0
city_keep.cap.east environment-v4/buildings/side-cap.png .125 7 1 1 0 0
bakery.floor environment-v4/nature/paving.png 1 1 0 0 0 0
bakery.wall environment-v4/buildings/wall-material.png 1 1 0 0 0 0
bakery.roof environment-v6/house-roof.png 3.5 3.125 0 0 0 0
bakery.roof.full environment-v6/house-roof.png 3.5 3.125 .0714285714 0 1.125 0
bakery.wall.south environment-v4/buildings/bakery-facade.png 3 1 0 1 0 0 1 0 door .43 .22 .18 .68
bakery.wall.north environment-v4/buildings/interior-wall.png 3 1 0 1 0 0
bakery.cap.south environment-v4/buildings/front-cap.png 3 .125 0 1 0 0
bakery.cap.west environment-v4/buildings/side-cap.png .125 3 0 1 0 0
bakery.cap.east environment-v4/buildings/side-cap.png .125 3 1 1 0 0
market.floor environment-v4/nature/paving.png 1 1 0 0 0 0
market.stall environment-v4/props/market-stall.png 2 2 .5 1 0 0
stockpile.floor environment-v4/nature/planks.png 1 1 0 0 0 0
stockpile.stack environment-v4/props/stockpile-stack.png 1.5 1.25 .5 1 0 0
fishing_grounds.floor environment-v4/nature/water.png 2 2 0 0 0 0
fishing_grounds.station environment-v4/props/fishing-station.png 1.5 2 .5 1 0 0
wheat_farm.floor environment-v4/nature/farm.png 1 1 0 0 0 0
wheat_farm.crop environment-v4/props/wheat-crop.png 1.5 1.25 .5 1 0 0
pastureland.floor environment-v5/grass-ground.png 2 2 0 0 0 0
road.floor environment-v4/nature/road.png 1 1 0 0 0 0
tree environment-v4/nature/tree.png 1.5 2 .5 1 0 0
rock environment-v4/nature/rock.png 1 .75 .5 1 0 0
terrain.plain environment-v5/grass-ground.png 2 2 0 0 0 0
terrain.forest environment-v5/grass-ground.png 2 2 0 0 0 0
terrain.jungle environment-v5/grass-ground.png 2 2 0 0 0 0
terrain.taiga environment-v5/grass-ground.png 2 2 0 0 0 0
terrain.tundra environment-v4/nature/snow.png 2 2 0 0 0 0
terrain.desert environment-v4/nature/sand.png 2 2 0 0 0 0
terrain.mountain environment-v4/nature/mountain.png 2 2 0 0 0 0
terrain.water environment-v4/nature/water.png 2 2 0 0 0 0
world.settlement environment-v4/buildings/house-marker.png 1 1.25 .5 1 0 0
resource.pile environment-v4/props/stockpile-stack.png .75 .625 .5 1 0 0
resource.fish environment-v4/props/resource-fish.png .75 .75 .5 1 0 0
resource.meat environment-v4/props/resource-meat.png .75 .75 .5 1 0 0
resource.food environment-v4/props/resource-food.png .75 .75 .5 1 0 0
resource.materials environment-v4/props/resource-materials.png .75 .75 .5 1 0 0
resource.stone environment-v4/props/resource-stone.png .75 .75 .5 1 0 0
resource.lumber environment-v4/props/resource-lumber.png .75 .75 .5 1 0 0
grass.tuft environment-v5/grass-tuft.png .375 .375 .5 1 0 0
tree.trunk.1 environment-v6/tree-trunk-1.png .55 .7 .5 1 0 0
tree.branch.1 environment-v6/tree-branch-1.png .85 .65 .5 1 0 0
tree.crown.1 environment-v6/tree-crown-1.png 1.5 1.25 .5 1 0 0
tree.trunk.2 environment-v6/tree-trunk-2.png .55 .7 .5 1 0 0
tree.branch.2 environment-v6/tree-branch-2.png .85 .65 .5 1 0 0
tree.crown.2 environment-v6/tree-crown-2.png 1.5 1.25 .5 1 0 0
tree.trunk.3 environment-v6/tree-trunk-3.png .55 .7 .5 1 0 0
tree.branch.3 environment-v6/tree-branch-3.png .85 .65 .5 1 0 0
tree.crown.3 environment-v6/tree-crown-3.png 1.5 1.25 .5 1 0 0
