Name,Hex,R,G,B
Straw highlight,#FFE8AD,255,232,173
Honey thatch,#EBC46B,235,196,107
Thatch shade,#BD864C,189,134,76
Peach plaster,#DF947F,223,148,127
Clay shade,#B76858,183,104,88
Plum timber,#633E4B,99,62,75
Fresh leaf,#A6CD59,166,205,89
Jade green,#49975B,73,151,91
Deep foliage,#235747,35,87,71
Lavender shadow,#81718F,129,113,143
Night depth,#080F1B,8,15,27
Indigo shadow,#202C43,32,44,67
Moonlit blue,#46627D,70,98,125
Ember bounce,#B76A36,183,106,54
Amber light,#F3AE45,243,174,69
Flame core,#FFF0C4,255,240,196
Straw midlight,#F4D78B,244,215,139
Golden ochre,#D5A454,213,164,84
Deep thatch,#886044,136,96,68
Plaster highlight,#F3B69A,243,182,154
Rose clay,#CB7C70,203,124,112
Clay recess,#874D50,135,77,80
Timber highlight,#95655F,149,101,95
Timber recess,#392B3C,57,43,60
Leaf glint,#D0E58A,208,229,138
Sage midlight,#79B56D,121,181,109
Emerald shade,#337A58,51,122,88
Teal shadow,#193E42,25,62,66
Lilac bounce,#ADA0B9,173,160,185
Night midtone,#30455D,48,69,93
Fire orange,#DF8738,223,135,56
Light gold,#FFD783,255,215,131
