Name,Hex,R,G,B
Straw highlight,#FFE8AD,255,232,173
Honey thatch,#EBC46B,235,196,107
Thatch shade,#BD864C,189,134,76
Peach plaster,#DF947F,223,148,127
Clay shade,#B76858,183,104,88
Plum timber,#633E4B,99,62,75
Fresh leaf,#A6CD59,166,205,89
Jade green,#49975B,73,151,91
Deep foliage,#235747,35,87,71
Lavender shadow,#81718F,129,113,143
Night depth,#080F1B,8,15,27
Indigo shadow,#202C43,32,44,67
Moonlit blue,#46627D,70,98,125
Ember bounce,#B76A36,183,106,54
Amber light,#F3AE45,243,174,69
Flame core,#FFF0C4,255,240,196
