projection,pixels,roll,frame,left,top,width,height
flat,40,0,0,459,296,52,33
flat,40,0,1,459,296,52,33
flat,40,0,2,458,296,52,33
flat,40,0,3,458,296,52,33
flat,40,0,4,457,296,52,33
flat,40,0,5,457,296,52,33
flat,40,0,6,456,296,52,33
flat,40,0,7,455,296,52,33
flat,40,0,8,455,296,52,33
flat,40,0,9,455,296,52,33
flat,40,0,10,454,296,52,33
flat,40,0,11,454,296,52,33
flat,40,0,12,454,296,52,33
flat,40,0,13,453,296,52,33
flat,40,0,14,453,296,52,33
flat,40,0,15,452,296,52,33
flat,40,0,16,452,296,52,33
flat,40,0,17,451,296,52,33
flat,40,0,18,451,296,52,33
flat,40,0,19,450,296,52,33
flat,40,0,20,450,296,52,33
flat,40,0,21,449,296,52,33
flat,40,0,22,449,296,52,33
flat,40,0,23,449,296,52,33
flat,40,0,24,448,296,52,33
flat,40,0,25,448,296,52,33
flat,40,0,26,447,296,52,33
flat,40,0,27,447,296,52,33
flat,40,0,28,446,296,52,33
flat,40,0,29,446,296,52,33
flat,40,0,30,445,296,52,33
flat,40,0,31,445,296,52,33
flat,64,0,0,459,296,52,33
flat,64,0,1,458,296,52,33
flat,64,0,2,458,296,52,33
flat,64,0,3,457,296,52,33
flat,64,0,4,457,296,52,33
flat,64,0,5,456,296,52,33
flat,64,0,6,456,296,52,33
flat,64,0,7,455,296,52,33
flat,64,0,8,455,296,52,33
flat,64,0,9,455,296,52,33
flat,64,0,10,454,296,52,33
flat,64,0,11,454,296,52,33
flat,64,0,12,453,296,52,33
flat,64,0,13,453,296,52,33
flat,64,0,14,452,296,52,33
flat,64,0,15,452,296,52,33
flat,64,0,16,451,296,52,33
flat,64,0,17,451,296,52,33
flat,64,0,18,450,296,52,33
flat,64,0,19,450,296,52,33
flat,64,0,20,450,296,52,33
flat,64,0,21,449,296,52,33
flat,64,0,22,449,296,52,33
flat,64,0,23,448,296,52,33
flat,64,0,24,448,296,52,33
flat,64,0,25,447,296,52,33
flat,64,0,26,447,296,52,33
flat,64,0,27,446,296,52,33
flat,64,0,28,446,296,52,33
flat,64,0,29,446,296,52,33
flat,64,0,30,445,296,52,33
flat,64,0,31,445,296,52,33
flat,96,0,0,459,296,52,33
flat,96,0,1,458,296,52,33
flat,96,0,2,458,296,52,33
flat,96,0,3,457,296,52,33
flat,96,0,4,457,296,52,33
flat,96,0,5,456,296,52,33
flat,96,0,6,456,296,52,33
flat,96,0,7,455,296,52,33
flat,96,0,8,455,296,52,33
flat,96,0,9,455,296,52,33
flat,96,0,10,454,296,52,33
flat,96,0,11,454,296,52,33
flat,96,0,12,453,296,52,33
flat,96,0,13,453,296,52,33
flat,96,0,14,452,296,52,33
flat,96,0,15,452,296,52,33
flat,96,0,16,451,296,52,33
flat,96,0,17,451,296,52,33
flat,96,0,18,451,296,52,33
flat,96,0,19,450,296,52,33
flat,96,0,20,450,296,52,33
flat,96,0,21,449,296,52,33
flat,96,0,22,449,296,52,33
flat,96,0,23,448,296,52,33
flat,96,0,24,448,296,52,33
flat,96,0,25,447,296,52,33
flat,96,0,26,447,296,52,33
flat,96,0,27,446,296,52,33
flat,96,0,28,446,296,52,33
flat,96,0,29,446,296,52,33
flat,96,0,30,445,296,52,33
flat,96,0,31,445,296,52,33
flat,127.5,0,0,459,296,52,33
flat,127.5,0,1,458,296,52,33
flat,127.5,0,2,458,296,52,33
flat,127.5,0,3,457,296,52,33
flat,127.5,0,4,457,296,52,33
flat,127.5,0,5,456,296,52,33
flat,127.5,0,6,456,296,52,33
flat,127.5,0,7,455,296,52,33
flat,127.5,0,8,455,296,52,33
flat,127.5,0,9,455,296,52,33
flat,127.5,0,10,454,296,52,33
flat,127.5,0,11,454,296,52,33
flat,127.5,0,12,453,296,52,33
flat,127.5,0,13,453,296,52,33
flat,127.5,0,14,452,296,52,33
flat,127.5,0,15,452,296,52,33
flat,127.5,0,16,451,296,52,33
flat,127.5,0,17,451,296,52,33
flat,127.5,0,18,450,296,52,33
flat,127.5,0,19,450,296,52,33
flat,127.5,0,20,450,296,52,33
flat,127.5,0,21,449,296,52,33
flat,127.5,0,22,449,296,52,33
flat,127.5,0,23,448,296,52,33
flat,127.5,0,24,448,296,52,33
flat,127.5,0,25,447,296,52,33
flat,127.5,0,26,447,296,52,33
flat,127.5,0,27,446,296,52,33
flat,127.5,0,28,446,296,52,33
flat,127.5,0,29,446,296,52,33
flat,127.5,0,30,445,296,52,33
flat,127.5,0,31,445,296,52,33
flat,256,0,0,459,296,52,33
flat,256,0,1,458,296,52,33
flat,256,0,2,458,296,52,33
flat,256,0,3,457,296,52,33
flat,256,0,4,457,296,52,33
flat,256,0,5,456,296,52,33
flat,256,0,6,456,296,52,33
flat,256,0,7,455,296,52,33
flat,256,0,8,455,296,52,33
flat,256,0,9,455,296,52,33
flat,256,0,10,454,296,52,33
flat,256,0,11,454,296,52,33
flat,256,0,12,453,296,52,33
flat,256,0,13,453,296,52,33
flat,256,0,14,452,296,52,33
flat,256,0,15,452,296,52,33
flat,256,0,16,451,296,52,33
flat,256,0,17,451,296,52,33
flat,256,0,18,450,296,52,33
flat,256,0,19,450,296,52,33
flat,256,0,20,450,296,52,33
flat,256,0,21,449,296,52,33
flat,256,0,22,449,296,52,33
flat,256,0,23,448,296,52,33
flat,256,0,24,448,296,52,33
flat,256,0,25,447,296,52,33
flat,256,0,26,447,296,52,33
flat,256,0,27,446,296,52,33
flat,256,0,28,446,296,52,33
flat,256,0,29,446,296,52,33
flat,256,0,30,445,296,52,33
flat,256,0,31,445,296,52,33
globe,40,0,0,459,296,52,33
globe,40,0,1,459,296,52,33
globe,40,0,2,458,296,52,33
globe,40,0,3,458,296,52,33
globe,40,0,4,457,296,52,33
globe,40,0,5,457,296,52,33
globe,40,0,6,456,296,52,33
globe,40,0,7,455,296,52,33
globe,40,0,8,455,296,52,33
globe,40,0,9,455,296,52,33
globe,40,0,10,454,296,52,33
globe,40,0,11,454,296,52,33
globe,40,0,12,454,296,52,33
globe,40,0,13,453,296,52,33
globe,40,0,14,453,296,52,33
globe,40,0,15,452,296,52,33
globe,40,0,16,452,296,52,33
globe,40,0,17,451,296,52,33
globe,40,0,18,451,296,52,33
globe,40,0,19,450,296,52,33
globe,40,0,20,450,296,52,33
globe,40,0,21,449,296,52,33
globe,40,0,22,449,296,52,33
globe,40,0,23,449,296,52,33
globe,40,0,24,448,296,52,33
globe,40,0,25,448,296,52,33
globe,40,0,26,447,296,52,33
globe,40,0,27,447,296,52,33
globe,40,0,28,446,296,52,33
globe,40,0,29,446,296,52,33
globe,40,0,30,445,296,52,33
globe,40,0,31,445,296,52,33
globe,40,0.37,0,458,297,52,33
globe,40,0.37,1,458,297,52,33
globe,40,0.37,2,457,297,52,33
globe,40,0.37,3,457,297,52,33
globe,40,0.37,4,456,297,52,33
globe,40,0.37,5,456,297,52,33
globe,40,0.37,6,456,296,52,33
globe,40,0.37,7,455,296,52,33
globe,40,0.37,8,455,296,52,33
globe,40,0.37,9,455,296,52,33
globe,40,0.37,10,454,296,52,33
globe,40,0.37,11,454,295,52,33
globe,40,0.37,12,454,295,52,33
globe,40,0.37,13,453,295,52,33
globe,40,0.37,14,453,295,52,33
globe,40,0.37,15,452,295,52,33
globe,40,0.37,16,452,295,52,33
globe,40,0.37,17,451,294,52,33
globe,40,0.37,18,450,294,52,33
globe,40,0.37,19,450,294,52,33
globe,40,0.37,20,450,294,52,33
globe,40,0.37,21,449,294,52,33
globe,40,0.37,22,449,293,52,33
globe,40,0.37,23,449,293,52,33
globe,40,0.37,24,448,293,52,33
