projection,pixels,roll,frame,left,top,width,height
flat,40,0,0,454,295,60,34
flat,40,0,1,454,295,60,34
flat,40,0,2,453,295,60,34
flat,40,0,3,453,295,60,34
flat,40,0,4,452,295,60,34
flat,40,0,5,452,295,60,34
flat,40,0,6,451,295,60,34
flat,40,0,7,450,295,60,34
flat,40,0,8,450,295,60,34
flat,40,0,9,450,295,60,34
flat,40,0,10,449,295,60,34
flat,40,0,11,449,295,60,34
flat,40,0,12,449,295,60,34
flat,40,0,13,448,295,60,34
flat,40,0,14,448,295,60,34
flat,40,0,15,447,295,60,34
flat,40,0,16,447,295,60,34
flat,40,0,17,446,295,60,34
flat,40,0,18,446,295,60,34
flat,40,0,19,445,295,60,34
flat,40,0,20,445,295,60,34
flat,40,0,21,444,295,60,34
flat,40,0,22,444,295,60,34
flat,40,0,23,444,295,60,34
flat,40,0,24,443,295,60,34
flat,40,0,25,443,295,60,34
flat,40,0,26,442,295,60,34
flat,40,0,27,442,295,60,34
flat,40,0,28,441,295,60,34
flat,40,0,29,441,295,60,34
flat,40,0,30,440,295,60,34
flat,40,0,31,440,295,60,34
flat,64,0,0,454,295,60,34
flat,64,0,1,453,295,60,34
flat,64,0,2,453,295,60,34
flat,64,0,3,452,295,60,34
flat,64,0,4,452,295,60,34
flat,64,0,5,451,295,60,34
flat,64,0,6,451,295,60,34
flat,64,0,7,450,295,60,34
flat,64,0,8,450,295,60,34
flat,64,0,9,450,295,60,34
flat,64,0,10,449,295,60,34
flat,64,0,11,449,295,60,34
flat,64,0,12,448,295,60,34
flat,64,0,13,448,295,60,34
flat,64,0,14,447,295,60,34
flat,64,0,15,447,295,60,34
flat,64,0,16,446,295,60,34
flat,64,0,17,446,295,60,34
flat,64,0,18,445,295,60,34
flat,64,0,19,445,295,60,34
flat,64,0,20,445,295,60,34
flat,64,0,21,444,295,60,34
flat,64,0,22,444,295,60,34
flat,64,0,23,443,295,60,34
flat,64,0,24,443,295,60,34
flat,64,0,25,442,295,60,34
flat,64,0,26,442,295,60,34
flat,64,0,27,441,295,60,34
flat,64,0,28,441,295,60,34
flat,64,0,29,441,295,60,34
flat,64,0,30,440,295,60,34
flat,64,0,31,440,295,60,34
flat,96,0,0,454,295,60,34
flat,96,0,1,453,295,60,34
flat,96,0,2,453,295,60,34
flat,96,0,3,452,295,60,34
flat,96,0,4,452,295,60,34
flat,96,0,5,451,295,60,34
flat,96,0,6,451,295,60,34
flat,96,0,7,450,295,60,34
flat,96,0,8,450,295,60,34
flat,96,0,9,450,295,60,34
flat,96,0,10,449,295,60,34
flat,96,0,11,449,295,60,34
flat,96,0,12,448,295,60,34
flat,96,0,13,448,295,60,34
flat,96,0,14,447,295,60,34
flat,96,0,15,447,295,60,34
flat,96,0,16,446,295,60,34
flat,96,0,17,446,295,60,34
flat,96,0,18,446,295,60,34
flat,96,0,19,445,295,60,34
flat,96,0,20,445,295,60,34
flat,96,0,21,444,295,60,34
flat,96,0,22,444,295,60,34
flat,96,0,23,443,295,60,34
flat,96,0,24,443,295,60,34
flat,96,0,25,442,295,60,34
flat,96,0,26,442,295,60,34
flat,96,0,27,441,295,60,34
flat,96,0,28,441,295,60,34
flat,96,0,29,441,295,60,34
flat,96,0,30,440,295,60,34
flat,96,0,31,440,295,60,34
flat,127.5,0,0,454,295,60,34
flat,127.5,0,1,453,295,60,34
flat,127.5,0,2,453,295,60,34
flat,127.5,0,3,452,295,60,34
flat,127.5,0,4,452,295,60,34
flat,127.5,0,5,451,295,60,34
flat,127.5,0,6,451,295,60,34
flat,127.5,0,7,450,295,60,34
flat,127.5,0,8,450,295,60,34
flat,127.5,0,9,450,295,60,34
flat,127.5,0,10,449,295,60,34
flat,127.5,0,11,449,295,60,34
flat,127.5,0,12,448,295,60,34
flat,127.5,0,13,448,295,60,34
flat,127.5,0,14,447,295,60,34
flat,127.5,0,15,447,295,60,34
flat,127.5,0,16,446,295,60,34
flat,127.5,0,17,446,295,60,34
flat,127.5,0,18,445,295,60,34
flat,127.5,0,19,445,295,60,34
flat,127.5,0,20,445,295,60,34
flat,127.5,0,21,444,295,60,34
flat,127.5,0,22,444,295,60,34
flat,127.5,0,23,443,295,60,34
flat,127.5,0,24,443,295,60,34
flat,127.5,0,25,442,295,60,34
flat,127.5,0,26,442,295,60,34
flat,127.5,0,27,441,295,60,34
flat,127.5,0,28,441,295,60,34
flat,127.5,0,29,441,295,60,34
flat,127.5,0,30,440,295,60,34
flat,127.5,0,31,440,295,60,34
flat,256,0,0,454,295,60,34
flat,256,0,1,453,295,60,34
flat,256,0,2,453,295,60,34
flat,256,0,3,452,295,60,34
flat,256,0,4,452,295,60,34
flat,256,0,5,451,295,60,34
flat,256,0,6,451,295,60,34
flat,256,0,7,450,295,60,34
flat,256,0,8,450,295,60,34
flat,256,0,9,450,295,60,34
flat,256,0,10,449,295,60,34
flat,256,0,11,449,295,60,34
flat,256,0,12,448,295,60,34
flat,256,0,13,448,295,60,34
flat,256,0,14,447,295,60,34
flat,256,0,15,447,295,60,34
flat,256,0,16,446,295,60,34
flat,256,0,17,446,295,60,34
flat,256,0,18,445,295,60,34
flat,256,0,19,445,295,60,34
flat,256,0,20,445,295,60,34
flat,256,0,21,444,295,60,34
flat,256,0,22,444,295,60,34
flat,256,0,23,443,295,60,34
flat,256,0,24,443,295,60,34
flat,256,0,25,442,295,60,34
flat,256,0,26,442,295,60,34
flat,256,0,27,441,295,60,34
flat,256,0,28,441,295,60,34
flat,256,0,29,441,295,60,34
flat,256,0,30,440,295,60,34
flat,256,0,31,440,295,60,34
globe,40,0,0,454,295,60,34
globe,40,0,1,454,295,60,34
globe,40,0,2,453,295,60,34
globe,40,0,3,453,295,60,34
globe,40,0,4,452,295,60,34
globe,40,0,5,452,295,60,34
globe,40,0,6,451,295,60,34
globe,40,0,7,450,295,60,34
globe,40,0,8,450,295,60,34
globe,40,0,9,450,295,60,34
globe,40,0,10,449,295,60,34
globe,40,0,11,449,295,60,34
globe,40,0,12,449,295,60,34
globe,40,0,13,448,295,60,34
globe,40,0,14,448,295,60,34
globe,40,0,15,447,295,60,34
globe,40,0,16,447,295,60,34
globe,40,0,17,446,295,60,34
globe,40,0,18,446,295,60,34
globe,40,0,19,445,295,60,34
globe,40,0,20,445,295,60,34
globe,40,0,21,444,295,60,34
globe,40,0,22,444,295,60,34
globe,40,0,23,444,295,60,34
globe,40,0,24,443,295,60,34
globe,40,0,25,443,295,60,34
globe,40,0,26,442,295,60,34
globe,40,0,27,442,295,60,34
globe,40,0,28,441,295,60,34
globe,40,0,29,441,295,60,34
globe,40,0,30,440,295,60,34
globe,40,0,31,440,295,60,34
globe,40,0.37,0,453,296,60,34
globe,40,0.37,1,453,296,60,34
globe,40,0.37,2,452,296,60,34
globe,40,0.37,3,452,296,60,34
globe,40,0.37,4,451,296,60,34
globe,40,0.37,5,451,296,60,34
globe,40,0.37,6,451,295,60,34
globe,40,0.37,7,450,295,60,34
globe,40,0.37,8,450,295,60,34
globe,40,0.37,9,450,295,60,34
globe,40,0.37,10,449,295,60,34
globe,40,0.37,11,449,294,60,34
globe,40,0.37,12,449,294,60,34
globe,40,0.37,13,448,294,60,34
globe,40,0.37,14,448,294,60,34
globe,40,0.37,15,447,294,60,34
globe,40,0.37,16,447,294,60,34
globe,40,0.37,17,446,293,60,34
globe,40,0.37,18,445,293,60,34
globe,40,0.37,19,445,293,60,34
globe,40,0.37,20,445,293,60,34
globe,40,0.37,21,444,293,60,34
