pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
0,0,0.6,1404.82,0.0107,7.9388,1158.82,0,0,0.0002,0.0093,0.011
0,1,0.600852,8.2991,0.0042,4.88,2.1561,0,0,0.0002,0.003,0.0033
0,2,0.603413,8.8036,0.0024,4.0564,2.3679,0,0,0.0001,0.002,0.003
0,3,0.607702,8.0679,0.0027,4.4418,2.0595,0,0,0.0002,0.0014,0.0023
0,4,0.613751,7.4586,0.0023,4.0398,2.067,0,0,0.0001,0.0009,0.0019
0,5,0.621603,8.2249,0.0019,4.6781,2.1251,0,0,0.0001,0.001,0.0016
0,6,0.631317,7.2868,0.0022,4.2383,2.1258,0,0,0,0.0012,0.0017
0,7,0.642964,8.7262,0.0021,5.7528,2.0682,0,0,0,0.0011,0.0017
0,8,0.65663,6.6698,0.0019,3.9408,1.9391,0,0,0,0.0008,0.0012
0,9,0.672417,6.8474,0.0014,4.0328,1.9564,0,0,0.0001,0.0007,0.0011
0,10,0.690442,6.8551,0.0015,3.9944,1.9594,0,0,0.0001,0.0008,0.0012
0,11,0.710842,6.9479,0.0039,4.0743,1.9597,0,0,0,0.0008,0.0011
0,12,0.73377,6.8475,0.0018,4.0688,1.9301,0,0,0,0.0008,0.0011
0,13,0.759401,6.9083,0.0013,4.0482,1.9168,0,0,0,0.0008,0.0011
0,14,0.787932,7.0184,0.0026,4.1219,1.9471,0,0,0,0.0007,0.001
0,15,0.819581,7.3297,0.0022,4.3262,1.9537,0,0,0.0001,0.0014,0.0019
0,16,0.854596,7.3143,0.0023,4.3306,1.967,0,0,0,0.0009,0.0012
0,17,0.893248,6.9525,0.0014,4.0782,1.9708,0,0,0,0.0012,0.0013
0,18,0.935842,6.6006,0.0013,4.0186,1.9707,0,0,0.0001,0.0007,0.0012
0,19,0.982714,6.5784,0.0024,4.0345,1.9357,0,0,0,0.0008,0.0012
0,20,1.03424,6.6016,0.002,4.0635,1.9148,0,0,0,0.0008,0.0011
0,21,1.09082,6.5882,0.002,4.0571,1.9181,0,0,0,0.0008,0.0013
0,22,1.15292,6.5527,0.0015,4.011,1.9307,0,0,0,0.0008,0.0012
0,23,1.22103,6.5201,0.0012,4.0234,1.9075,0,0,0,0.0008,0.0009
0,24,1.2957,6.9118,0.0021,4.0272,1.9091,0,0,0,0.0008,0.0011
0,25,1.37755,6.7088,0.0019,3.9439,1.9075,0,0,0.0001,0.0007,0.0012
0,26,1.46721,6.3183,0.0015,3.8738,1.8763,0,0,0.0001,0.0007,0.0012
0,27,1.56543,6.4244,0.0012,3.9195,1.8892,0,0,0.0001,0.0008,0.0012
0,28,1.67299,6.3313,0.0014,3.9166,1.856,0,0,0.0001,0.0007,0.001
0,29,1.79076,6.3924,0.0019,3.9304,1.854,0,0,0,0.0008,0.0011
0,30,1.91967,14.5525,0.0021,3.9033,1.8209,0,0,0,0.0008,6.182
0,31,2.06075,11.6036,0.0021,4.0902,1.8163,0,0,0.0001,0.0013,3.4082
0,32,2.21512,10.9439,0.0021,4.698,1.6997,0,0,0.0001,0.0013,3.0773
0,33,2.38398,10.7201,0.0024,3.9235,1.7011,0,0,0.0001,0.001,2.6649
0,34,2.56862,9.8599,0.0024,4.3953,1.6465,0,0,0.0001,0.0008,2.5279
0,35,2.77047,9.5725,0.0026,4.5155,1.5899,0,0,0.0002,0.0006,2.2527
0,36,2.99101,8.7539,0.002,4.0315,1.5943,0,0,0,0.0009,1.9856
0,37,3.23189,8.3133,0.0015,3.9723,1.576,0,0,0,0.0009,1.6211
0,38,3.49483,7.8421,0.0015,4.0875,1.301,0,0,0.0001,0.0009,1.3358
0,39,3.78168,7.2888,0.0039,4.0041,1.3123,0,0,0,0.0009,0.9634
0,40,4.0944,88.2386,0.0019,10.9022,75.369,0,0,0.0003,0.0054,0.7869
0,41,4.43507,79.582,0.0028,10.3013,67.5855,0,0,0.0002,0.0064,0.5593
0,42,4.80587,73.7824,0.0028,9.3171,62.5859,0,0,0.0002,0.0088,0.5251
0,43,5.20909,85.0976,0.0022,8.984,74.6815,0,0,0.0002,0.0063,0.379
0,44,5.64713,60.9883,0.0026,7.6276,52.2203,0,0,0.0002,0.0043,0.3487
0,45,6.12247,57.5538,0.0019,6.9749,49.3037,0,0,0.0001,0.0035,0.262
0,46,6.63765,9.8394,0.0018,6.471,2.3132,0,0,0.0001,0.0015,0.265
0,47,7.19528,7.7269,0.0019,5.1034,1.9279,0,0,0.0001,0.001,0.2461
0,48,7.79802,8.7545,0.0023,5.44,1.9998,0,0,0.0002,0.0015,0.2305
0,49,8.44851,9.8584,0.0019,5.9953,2.8286,0,0,0.0002,0.0031,0.3369
0,50,9.14942,9.9759,0.0029,7.2782,1.88,0,0,0.0001,0.0021,0.2053
0,51,9.90332,12.8745,0.0068,5.4601,2.0624,0.2662,0.0119,4.3664,0.0028,0.2043
0,52,10.7127,13.0767,0.0052,6.4312,1.8017,0.1691,0.0059,4.0158,0.0018,0.1738
0,53,11.58,13.6401,0.0057,5.7935,1.8548,0.137,0.0049,4.1104,0.0001,0.6379
0,54,12.5074,12.6053,0.0054,5.9902,1.8195,0.1322,0.0045,4.0443,0.0001,0.1382
0,55,13.4968,4.762,0.0046,0,0.0001,0.1113,0.0054,4.0982,0,0.0913
0,56,14.5499,4.9048,0.0047,0,0,0.1052,0.0037,4.2559,0.0001,0.0927
0,57,15.6681,4.973,0.0046,0,0,0.1101,0.0037,4.2244,0,0.0985
0,58,16.8523,4.7027,0.0044,0,0,0.0907,0.0032,4.0909,0.0001,0.092
0,59,18.103,4.7669,0.0043,0,0,0.0947,0.0027,4.0656,0,0.0882
0,60,19.42,5.1186,0.003,0,0,0.0879,0.0026,4.3658,0.0002,0.1062
0,61,20.8028,4.8622,0.006,0,0,0.1096,0.0051,4.1233,0.0001,0.096
0,62,22.2498,4.7611,0.0032,0,0.0001,0.063,0.0036,4.1682,0,0.091
0,63,23.7592,5.6257,0.003,0,0.0001,0.0539,0.0022,4.7861,0.0002,0.1379
0,64,25.3279,4.9629,0.0048,0,0,0.0724,0.0034,4.2237,0.0001,0.1004
0,65,26.9524,5.5721,0.0042,0,0,0.0645,0.0034,4.8397,0.0002,0.1143
0,66,28.628,5.9982,0.0066,0,0,0.0869,0.0045,5.167,0.0003,0.1118
0,67,30.3493,6.4941,0.0062,0,0.0001,0.0572,0.0047,5.8025,0.0001,0.0592
0,68,32.1099,5.1039,0.0057,0,0.0001,0.0844,0.0039,4.5493,0,0.0509
0,69,33.9025,4.8952,0.0028,0,0,0.039,0.0017,4.2975,0.0001,0.0553
0,70,35.7189,4.5315,0.003,0,0.0001,0.0328,0.0015,4.0392,0,0.0507
0,71,37.55,4.51,0.0027,0,0,0.0324,0.0013,4.0373,0,0.0478
0,72,39.3859,4.8898,0.0024,0,0.0001,0.0312,0.0012,4.2725,0.0001,0.0552
0,73,41.2159,5.0187,0.0038,0,0.0001,0.0413,0.0013,4.4341,0.0001,0.0507
0,74,43.0287,4.5925,0.0037,0,0.0001,0.0366,0.0013,4.0862,0,0.0498
0,75,44.8122,4.6521,0.0035,0,0.0001,0.0395,0.0013,4.1211,0,0.0509
0,76,46.5543,7.4167,0.0046,0,0,0.0626,0.0019,6.7666,0.0001,0.0773
0,77,48.2421,4.5691,0.0037,0,0.0001,0.0359,0.0017,4.0649,0.0001,0.0534
0,78,49.8629,4.8712,0.0035,0,0.0001,0.0349,0.0016,4.3792,0.0001,0.0521
0,79,51.4039,4.814,0.0029,0,0,0.0267,0.0012,4.2406,0.0001,0.0548
0,80,52.8524,4.4719,0.0027,0,0,0.0253,0.0011,3.9987,0,0.0486
0,81,54.1964,4.609,0.0025,0,0,0.0238,0.0012,4.1006,0.0001,0.0486
0,82,55.424,6.0099,0.0041,0,0.0001,0.0357,0.0014,5.2385,0,0.0699
