pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
0,0,0.6,9.8646,0.007,3.7142,2.9338,0,0,0.0001,0.0015,0.0047
0,1,0.600852,6.9916,0.0016,2.5569,1.8458,0,0,0.0001,0.0008,0.0013
0,2,0.603413,5.8168,0.0019,2.9573,1.9013,0,0,0,0.0009,0.0016
0,3,0.607702,5.2258,0.0014,2.4862,1.8815,0,0,0,0.0007,0.0011
0,4,0.613751,5.7088,0.0014,2.5445,1.8562,0,0,0,0.0007,0.0011
0,5,0.621603,5.7928,0.0015,2.7275,2.2326,0,0,0.0001,0.0009,0.0016
0,6,0.631317,5.4137,0.0016,2.6727,1.8608,0,0,0.0001,0.0007,0.0012
0,7,0.642964,5.8585,0.002,2.7171,1.9725,0,0,0,0.0008,0.0012
0,8,0.65663,5.2839,0.0015,2.4982,1.8562,0,0,0,0.0007,0.0012
0,9,0.672417,5.0074,0.0015,2.5375,1.8595,0,0,0,0.0007,0.0011
0,10,0.690442,5.7869,0.0012,2.5106,1.8838,0,0,0.0001,0.0006,0.001
0,11,0.710842,5.0259,0.0016,2.4937,1.8988,0,0,0,0.0009,0.0012
0,12,0.73377,4.9787,0.0015,2.4893,1.8872,0,0,0.0001,0.0007,0.0012
0,13,0.759401,4.9836,0.0013,2.5038,1.8645,0,0,0.0001,0.0006,0.0011
0,14,0.787932,4.9876,0.0013,2.5086,1.8641,0,0,0.0001,0.0012,0.0012
0,15,0.819581,4.8608,0.0013,2.368,1.8756,0,0,0.0001,0.0012,0.002
0,16,0.854596,4.7927,0.0011,2.356,1.8679,0,0,0.0001,0.0007,0.0012
0,17,0.893248,5.3161,0.0012,2.3238,1.8727,0,0,0,0.0008,0.0015
0,18,0.935842,4.9748,0.0019,2.4578,1.8702,0,0,0.0001,0.0007,0.0012
0,19,0.982714,4.8726,0.0012,2.4208,1.8662,0,0,0.0001,0.0006,0.0013
0,20,1.03424,5.0755,0.0013,2.3694,1.8881,0,0,0.0001,0.0007,0.0011
0,21,1.09082,4.8843,0.0013,2.3978,1.8864,0,0,0,0.0008,0.0014
0,22,1.15292,13.069,0.0012,2.4143,1.8778,0,0,0.0001,0.0008,6.066
0,23,1.22103,11.2568,0.003,3.2132,2.0534,0,0,0.0002,0.0012,3.4053
0,24,1.2957,9.1637,0.0022,2.3769,1.9475,0,0,0.0001,0.0013,3.4026
0,25,1.37755,9.9296,0.0015,2.3674,1.8898,0,0,0,0.0008,3.3483
0,26,1.46721,9.7886,0.0017,2.8769,1.8628,0,0,0.0002,0.0009,3.3968
0,27,1.56543,10.5232,0.0018,2.355,1.8618,0,0,0,0.0008,3.3264
0,28,1.67299,9.9947,0.0019,2.5065,1.8686,0,0,0.0001,0.001,3.3878
0,29,1.79076,9.5486,0.0026,2.9969,1.7885,0,0,0.0004,0.0014,3.2036
0,30,1.91967,8.5508,0.0035,2.517,1.7156,0,0,0.0002,0.0011,2.8146
0,31,2.06075,8.5928,0.0018,3.2348,1.2593,0,0,0.0001,0.0014,2.6302
0,32,2.21512,9.6541,0.0017,2.4717,1.2645,0,0,0,0.001,2.3758
0,33,2.38398,7.5473,0.0024,2.5335,1.2906,0,0,0.0001,0.0012,2.173
0,34,2.56862,17.4899,0.0016,7.1385,6.5736,0,0,0.0003,0.0035,1.9283
0,35,2.77047,15.8237,0.0016,6.8638,5.9088,0,0,0.0001,0.0011,1.4987
0,36,2.99101,14.4254,0.0016,5.3526,5.4641,0,0,0.0001,0.0018,1.2098
0,37,3.23189,13.0025,0.0019,5.7978,5.7546,0,0,0,0.0022,0.8868
0,38,3.49483,12.6987,0.0022,5.0803,5.4793,0,0,0.0001,0.0015,0.6691
0,39,3.78168,11.0978,0.0026,4.9886,4.8427,0,0,0.0001,0.0016,0.5108
0,40,4.0944,10.1276,0.002,4.6091,4.5756,0,0,0.0002,0.001,0.4606
0,41,4.43507,9.4636,0.0017,4.1475,4.5401,0,0,0,0.0012,0.3251
0,42,4.80587,10.0426,0.0014,4.5093,4.6804,0,0,0.0002,0.0025,0.3976
0,43,5.20909,8.6476,0.0016,3.647,4.3201,0,0,0.0001,0.0009,0.2368
0,44,5.64713,13.4895,0.0046,3.4246,4.1523,0.3522,0.0466,4.035,0.0012,0.249
0,45,6.12247,12.7637,0.0045,3.6269,4.049,0.293,0.0425,4.0676,0.0023,0.2243
0,46,6.63765,11.9107,0.0037,3.0083,3.9429,0.2397,0.0178,4.0228,0.0013,0.2304
0,47,7.19528,12.0647,0.0037,2.5264,4.141,0.2168,0.0104,3.9752,0.0001,0.2329
0,48,7.79802,11.6628,0.0031,2.477,3.9165,0.1917,0.009,3.9944,0.0001,0.1614
0,49,8.44851,8.134,0.0042,0,0.0001,0.2048,0.0109,6.0839,0.0001,0.1666
0,50,9.14942,7.104,0.0049,0,0.0001,0.1569,0.0132,6.1762,0.0001,0.137
0,51,9.90332,6.8205,0.003,0,0.0001,0.1361,0.0096,6.0094,0.0001,0.1509
0,52,10.7127,7.2018,0.0034,0,0,0.1423,0.0085,6.0677,0.0001,0.0937
0,53,11.58,7.6228,0.0039,0,0,0.1349,0.0062,6.2858,0.0001,0.1014
0,54,12.5074,7.1288,0.0029,0,0,0.0974,0.0039,5.9535,0,0.0849
0,55,13.4968,7.1659,0.0026,0,0,0.0833,0.0031,5.9533,0,0.0822
0,56,14.5499,6.6276,0.0023,0,0.0001,0.0785,0.003,5.9565,0.0001,0.112
0,57,15.6681,8.0478,0.0038,0,0,0.1106,0.0044,6.2396,0.0001,0.0929
0,58,16.8523,8.2415,0.0028,0,0.0001,0.0683,0.0029,6.0913,0,0.0838
0,59,18.103,7.1613,0.0037,0,0,0.1016,0.0043,6.1891,0.0001,0.0912
0,60,19.42,7.2544,0.0027,0,0.0001,0.0589,0.0027,6.0102,0,0.0863
0,61,20.8028,7.1211,0.0025,0,0,0.0566,0.0021,5.9061,0,0.0903
0,62,22.2498,5.4035,0.0035,0,0.0001,0.0521,0.0019,3.9623,0,0.1613
0,63,23.7592,5.069,0.003,0,0,0.0518,0.0022,3.9195,0.0001,0.0547
0,64,25.3279,5.1979,0.0028,0,0,0.0533,0.0018,3.9747,0.0001,0.0503
0,65,26.9524,5.0986,0.0044,0,0.0001,0.0447,0.0016,3.9922,0,0.0481
0,66,28.628,5.0926,0.0026,0,0,0.0411,0.0016,3.9459,0,0.0468
0,67,30.3493,4.7942,0.0024,0,0,0.0352,0.0014,3.9527,0.0001,0.0469
0,68,32.1099,5.0364,0.0028,0,0,0.0356,0.0013,3.9673,0,0.0468
0,69,33.9025,5.3115,0.0024,0,0,0.0344,0.0013,3.947,0.0001,0.0461
0,70,35.7189,5.0608,0.0025,0,0,0.0301,0.0012,3.9582,0,0.0473
0,71,37.55,4.9171,0.0023,0,0.0001,0.0287,0.0011,3.9557,0,0.0459
0,72,39.3859,4.6952,0.0025,0,0,0.031,0.0012,3.8784,0.0001,0.0464
0,73,41.2159,4.762,0.0024,0,0,0.0297,0.0011,3.946,0,0.0454
0,74,43.0287,5.0327,0.0061,0,0,0.0318,0.001,3.9464,0.0001,0.0533
0,75,44.8122,5.2096,0.0025,0,0,0.0279,0.001,3.9329,0.0001,0.0484
0,76,46.5543,4.7236,0.0025,0,0.0001,0.0274,0.0013,3.9245,0,0.0467
0,77,48.2421,5.1192,0.0022,0,0,0.0262,0.001,4.0071,0,0.0471
0,78,49.8629,4.8332,0.0024,0,0,0.0232,0.0011,3.8929,0,0.0461
0,79,51.4039,5.051,0.0024,0,0.0001,0.0231,0.001,3.9867,0,0.045
0,80,52.8524,4.9382,0.0023,0,0,0.0229,0.001,3.9728,0,0.0472
0,81,54.1964,5.322,0.0022,0,0,0.0235,0.0009,4.2011,0.0001,0.0544
0,82,55.424,5.0529,0.0028,0,0,0.0254,0.0012,3.937,0,0.0476
0,83,56.5243,4.7345,0.0023,0,0.0001,0.0237,0.0009,3.8985,0,0.0477
0,84,57.4875,4.7403,0.0024,0,0,0.0229,0.0009,3.9288,0,0.0454
0,85,58.3045,5.1958,0.0026,0,0,0.0236,0.001,3.9466,0,0.0498
0,86,58.9677,5.1482,0.003,0,0,0.0268,0.0012,4.0112,0.0001,0.0532
0,87,59.4707,4.9656,0.0029,0,0,0.024,0.001,3.95,0.0001,0.0475
0,88,59.8088,4.7647,0.0026,0,0,0.0235,0.001,3.9603,0,0.0475
0,89,59.9787,5.0671,0.0022,0,0.0001,0.0225,0.001,3.9671,0,0.0458
0,90,59.9787,4.869,0.0024,0,0,0.0228,0.001,3.927,0,0.0472
0,91,59.8088,5.0533,0.0023,0,0,0.0228,0.0009,3.9442,0.0001,0.0462
0,92,59.4707,5.1268,0.0024,0,0,0.0238,0.001,3.9695,0,0.0474
0,93,58.9677,4.9321,0.0023,0,0,0.0221,0.001,3.9116,0,0.0451
0,94,58.3045,5.2243,0.0026,0,0,0.0232,0.001,4.1217,0.0002,0.051
0,95,57.4875,4.8853,0.0026,0,0.0001,0.0231,0.0011,3.9667,0,0.0483
0,96,56.5243,4.9956,0.0025,0,0,0.0254,0.0009,3.9571,0,0.0457
0,97,55.424,5.2806,0.0023,0,0.0001,0.0238,0.001,3.9775,0.0003,0.0519
0,98,54.1964,7.4593,0.003,0,0.0001,0.0295,0.0013,3.9636,0,0.0529
0,99,52.8524,5.5948,0.0025,0,0,0.0241,0.0009,3.9588,0,0.0505
0,100,51.4039,5.2095,0.0039,0,0.0001,0.032,0.0017,4.006,0.0002,0.0628
0,101,49.8629,5.139,0.0028,0,0.0001,0.0287,0.0012,3.9974,0.0001,0.0485
