pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
3,0,0.6,1440,21275,426,1,0,6.9656,0.002,3.5699,2.2295,0,0,0.0002,0.0022,0.0041
3,1,0.600852,1440,21275,568,1,0,5.7711,0.0019,2.7331,1.9861,0,0,0.0001,0.0013,0.0022
3,2,0.603413,1440,21275,710,1,0,5.5792,0.0035,2.6681,1.9617,0,0,0.0001,0.0009,0.0015
3,3,0.607702,1440,21275,852,1,0,5.5466,0.0014,2.6314,1.9533,0,0,0,0.0008,0.0013
3,4,0.613751,1440,21275,994,1,0,5.5005,0.0017,2.6304,1.9622,0,0,0.0002,0.0011,0.0017
3,5,0.621603,1440,21275,1136,1,0,5.5591,0.0019,2.641,1.9661,0,0,0.0001,0.0007,0.0014
3,6,0.631317,1440,21275,1278,1,0,5.4906,0.0014,2.625,1.9457,0,0,0.0002,0.001,0.0018
3,7,0.642964,1440,21275,1420,1,0,5.5518,0.0017,2.6522,1.9738,0,0,0.0002,0.0011,0.0016
3,8,0.65663,1440,21275,1562,1,0,5.539,0.0014,2.5986,1.9891,0,0,0.0002,0.0008,0.0011
3,9,0.672417,1440,21275,1704,1,0,5.5268,0.002,2.6136,1.9712,0,0,0.0001,0.0011,0.0017
3,10,0.690442,1440,21275,1846,1,0,5.4757,0.0019,2.6269,1.919,0,0,0.0002,0.0008,0.0013
3,11,0.710842,1440,21275,1988,1,0,5.4411,0.0029,2.5864,1.9692,0,0,0.0003,0.0011,0.0012
3,12,0.73377,1440,21275,2130,1,0,5.5426,0.0021,2.6022,1.9423,0,0,0.0001,0.0015,0.0024
3,13,0.759401,1440,21275,2272,1,0,5.4927,0.002,2.7326,1.9494,0,0,0.0001,0.0015,0.0019
3,14,0.787932,1440,21275,2414,1,0,5.9482,0.0018,2.7825,2.1227,0,0,0.0001,0.0018,0.0026
3,15,0.819581,1440,21275,2556,1,0,5.8862,0.0029,2.6013,2.1769,0,0,0.0001,0.0021,0.003
3,16,0.854596,1440,21275,2698,1,0,5.2157,0.0024,2.5408,1.9464,0,0,0.0002,0.0013,0.0015
3,17,0.893248,1440,21275,2840,1,0,5.3243,0.0013,2.4298,1.9453,0,0,0.0001,0.0009,0.0012
