pass,frame,zoom,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
0,0,0.6,9.1066,0.0061,3.527,2.836,0,0,0.0003,0.0012,0.0039
0,1,0.600852,6.7011,0.0025,2.8366,2.2327,0,0,0.0001,0.0016,0.0024
0,2,0.603413,7.4249,0.0025,3.1515,2.8815,0,0,0.0001,0.0016,0.0025
0,3,0.607702,5.5949,0.0017,2.5873,1.9015,0,0,0.0001,0.0009,0.0014
0,4,0.613751,7.2494,0.0021,3.8482,2.2461,0,0,0.0002,0.0022,0.0033
0,5,0.621603,6.6915,0.0038,2.4738,1.9024,0,0,0,0.0009,0.0012
0,6,0.631317,5.8958,0.002,2.8161,2.0265,0,0,0.0001,0.001,0.0015
0,7,0.642964,5.4472,0.0028,2.6832,1.9305,0,0,0.0002,0.0009,0.0013
0,8,0.65663,5.6291,0.0022,2.5262,1.9893,0,0,0.0001,0.0009,0.0014
0,9,0.672417,6.4558,0.002,2.884,2.2056,0,0,0.0001,0.0014,0.0024
0,10,0.690442,8.1624,0.0031,4.1113,2.8925,0,0,0.0002,0.0016,0.0023
0,11,0.710842,6.0117,0.0019,3.1828,1.9195,0,0,0,0.0011,0.0015
0,12,0.73377,5.8437,0.0023,2.8639,1.9667,0,0,0,0.0011,0.0021
0,13,0.759401,5.943,0.0018,2.7141,2.1138,0,0,0.0002,0.0013,0.0019
0,14,0.787932,6.6755,0.0025,3.3851,2.1924,0,0,0.0001,0.0019,0.0028
0,15,0.819581,6.1964,0.0032,2.6986,2.0986,0,0,0.0001,0.0021,0.0077
0,16,0.854596,6.6743,0.0034,3.424,2.0034,0,0,0.0002,0.0013,0.0024
0,17,0.893248,5.9481,0.0021,2.8486,1.9076,0,0,0.0001,0.001,0.0018
0,18,0.935842,5.3539,0.0024,2.6887,1.9277,0,0,0.0001,0.001,0.0014
0,19,0.982714,6.228,0.0022,3.0852,2.0808,0,0,0.0001,0.0016,0.0022
