pass,frame,zoom,game_minutes,residents,demographic_version,influence_revision,influence_changed,frame_ms,setup,sphere,sphere_politics,flat,foliage,flat_politics,sun,markers
3,0,0.6,1440,21275,426,1,0,8.649,0.0028,4.3183,2.9031,0,0,0.0002,0.0029,0.0038
3,1,0.600852,1440,21275,568,1,0,8.2069,0.0026,4.2711,2.879,0,0,0.0001,0.0018,0.0025
3,2,0.603413,1440,21275,710,1,0,8.463,0.002,4.2635,2.9646,0,0,0.0002,0.002,0.0024
3,3,0.607702,1440,21275,852,1,0,7.9285,0.0024,4.1414,2.8394,0,0,0.0002,0.0015,0.0021
3,4,0.613751,1440,21275,994,1,0,8.2458,0.0022,4.2121,2.8775,0,0,0.0001,0.0019,0.0022
3,5,0.621603,1440,21275,1136,1,0,8.0012,0.0025,4.187,2.8395,0,0,0.0001,0.0016,0.0022
3,6,0.631317,1440,21275,1278,1,0,8.1619,0.002,4.178,2.8706,0,0,0.0002,0.0017,0.0022
3,7,0.642964,1440,21275,1420,1,0,7.9837,0.0024,4.1545,2.8624,0,0,0.0001,0.0015,0.0022
3,8,0.65663,1440,21275,1562,1,0,8.1075,0.002,4.1505,2.8603,0,0,0.0001,0.002,0.0027
3,9,0.672417,1440,21275,1704,1,0,8.214,0.0025,4.3948,2.8405,0,0,0.0001,0.0015,0.0024
3,10,0.690442,1440,21275,1846,1,0,8.5058,0.0022,4.3587,2.8755,0,0,0.0002,0.0018,0.0028
3,11,0.710842,1440,21275,1988,1,0,8.4857,0.003,4.4816,2.8756,0,0,0.0002,0.0024,0.0029
3,12,0.73377,1440,21275,2130,1,0,8.7025,0.0028,4.4865,2.8853,0,0,0.0002,0.0025,0.004
3,13,0.759401,1440,21275,2272,1,0,8.3422,0.0028,4.4521,2.8631,0,0,0.0001,0.002,0.0022
3,14,0.787932,1440,21275,2414,1,0,8.487,0.0026,4.4602,2.9271,0,0,0.0002,0.0022,0.0029
3,15,0.819581,1440,21275,2556,1,0,8.3467,0.0029,4.442,2.8484,0,0,0.0001,0.0017,0.0023
3,16,0.854596,1440,21275,2698,1,0,8.3748,0.0022,4.435,2.8724,0,0,0.0002,0.0022,0.0031
3,17,0.893248,1440,21275,2840,1,0,8.2865,0.0026,4.428,2.8656,0,0,0.0001,0.0015,0.0022
3,18,0.935842,1440,21275,2982,1,0,8.228,0.002,4.3904,2.8643,0,0,0.0002,0.0015,0.0023
3,19,0.982714,1440,21275,3124,1,0,8.1985,0.0025,4.3794,2.8325,0,0,0.0001,0.0015,0.0021
3,20,1.03424,1440,21275,3266,1,0,8.5712,0.0022,4.398,2.8714,0,0,0.0002,0.0021,0.003
3,21,1.09082,1440,21275,3408,1,0,8.3751,0.0027,4.4253,2.865,0,0,0.0002,0.0023,0.0031
3,22,1.15292,1440,21275,3550,1,0,8.4675,0.0027,4.4635,2.8791,0,0,0.0002,0.0021,0.0028
3,23,1.22103,1440,21275,3692,1,0,8.2883,0.003,4.4402,2.8623,0,0,0.0002,0.0016,0.0023
3,24,1.2957,1440,21275,3834,1,0,8.4008,0.0024,4.4293,2.8909,0,0,0.0002,0.0037,0.0031
3,25,1.37755,1440,21275,3976,1,0,8.0744,0.0025,4.2192,2.8902,0,0,0.0001,0.0018,0.0025
3,26,1.46721,1440,21275,4118,1,0,8.2156,0.0022,4.1774,2.8439,0,0,0.0002,0.0022,0.0032
3,27,1.56543,1440,21275,4260,1,0,8.1039,0.0025,4.24,2.8383,0,0,0.0001,0.002,0.0024
3,28,1.67299,1440,21275,4402,1,0,5.8656,0.0023,3.1417,1.9545,0,0,0.0002,0.0017,0.0022
3,29,1.79076,1440,21275,4544,1,0,7.7836,0.0019,3.9481,2.8327,0,0,0.0001,0.0019,0.0023
3,30,1.91967,1440,21275,4686,1,0,16.2726,0.0024,4.2595,2.7283,0,0,0.0001,0.0022,3.6627
3,31,2.06075,1440,21275,4828,1,0,8.9022,0.0019,2.6074,1.7911,0,0,0.0001,0.0015,3.3481
3,32,2.21512,1440,21275,4970,1,0,8.2706,0.0016,2.5532,1.6924,0,0,0.0001,0.0014,3.0115
3,33,2.38398,1440,21275,5112,1,0,8.4458,0.0015,2.496,1.6882,0,0,0,0.0013,2.7658
3,34,2.56862,1440,21275,5254,1,0,13.0583,0.0044,4.2512,2.4811,0,0,0.0002,0.0024,3.5818
3,35,2.77047,1440,21275,5396,1,0,11.6067,0.003,4.5014,2.4747,0,0,0.0002,0.0023,3.1856
3,36,2.99101,1440,21275,5538,1,0,11.1166,0.0028,4.4312,2.4155,0,0,0.0002,0.0024,2.9236
3,37,3.23189,1440,21275,5680,1,0,10.7859,0.0029,4.4432,2.4084,0,0,0.0002,0.0024,2.4493
3,38,3.49483,1440,21275,5822,1,0,9.1558,0.0029,4.4571,1.8595,0,0,0.0001,0.003,1.6088
3,39,3.78168,1440,21275,5964,1,0,8.9963,0.003,4.231,1.9828,0,0,0.0003,0.0035,1.4343
3,40,4.0944,1440,21275,6106,1,0,16.4775,0.0027,7.962,5.9343,0,0,0.0002,0.0049,1.0067
3,41,4.43507,1440,21275,6248,1,0,11.7687,0.0016,4.5788,4.9556,0,0,0.0002,0.0029,0.7921
3,42,4.80587,1440,21275,6390,1,0,14.5268,0.0024,6.9934,5.6914,0,0,0.0002,0.0026,0.7185
3,43,5.20909,1440,21275,6532,1,0,11.3278,0.0029,4.9789,5.1509,0,0,0.0002,0.003,0.3885
3,44,5.64713,1440,21275,6674,1,0,11.0253,0.003,4.3249,5.0464,0,0,0.0003,0.0049,0.3881
3,45,6.12247,1440,21275,6816,1,0,11.58,0.0025,5.0709,5.3435,0,0,0.0002,0.0027,0.3773
3,46,6.63765,1440,21275,6958,1,0,10.5985,0.0027,4.9469,4.8455,0,0,0.0002,0.0027,0.2798
3,47,7.19528,1440,21275,7100,1,0,10.9929,0.0029,4.1542,5.1091,0,0,0.0002,0.0034,0.3928
3,48,7.79802,1440,21275,7242,1,0,7.9259,0.0028,2.554,4.2619,0,0,0.0002,0.0035,0.3525
3,49,8.44851,1440,21275,7384,1,0,10.4896,0.0028,4.3545,5.0444,0,0,0.0002,0.0028,0.3385
3,50,9.14942,1440,21275,7526,1,0,11.1032,0.0025,4.2905,4.9054,0,0,0.0001,0.002,0.2881
3,51,9.90332,1440,21275,7668,1,0,11.7103,0.0043,2.5929,4.0584,0.1718,0.0123,4.1772,0.0032,0.1725
3,52,10.7127,1440,21275,7810,1,0,12.2999,0.0053,2.8744,3.8782,0.236,0.0136,4.5356,0.0032,0.1889
3,53,11.58,1440,21275,7952,1,0,11.4122,0.0075,2.822,2.2896,0.213,0.0072,4.5111,0.0001,0.2445
3,54,12.5074,1440,21275,8094,1,0,10.3035,0.0064,2.7536,1.8157,0.1275,0.0069,4.1573,0.0003,0.163
3,55,13.4968,1440,21275,8236,1,0,5.0261,0.0041,0,0.0001,0.1104,0.0069,4.09,0.0001,0.0955
3,56,14.5499,1440,21275,8378,1,0,5.7167,0.0031,0,0,0.0928,0.0048,4.3161,0.0003,0.1047
3,57,15.6681,1440,21275,8520,1,0,5.4131,0.0036,0,0,0.0938,0.0043,4.0966,0.0003,0.0926
3,58,16.8523,1440,21275,8662,1,0,5.3819,0.0033,0,0,0.08,0.0038,4.1316,0.0001,0.0918
3,59,18.103,1440,21275,8804,1,0,5.4839,0.0026,0,0,0.0742,0.0036,4.1692,0.0001,0.097
3,60,19.42,1440,21275,8946,1,0,5.4862,0.0033,0,0,0.0659,0.0036,4.195,0.0001,0.0909
3,61,20.8028,1440,21275,9088,1,0,5.5863,0.0034,0,0,0.0652,0.003,4.0762,0.0001,0.0894
3,62,22.2498,1440,21275,9230,1,0,5.4356,0.0028,0,0.0001,0.0595,0.0024,4.1178,0.0001,0.0988
3,63,23.7592,1440,21275,9372,1,0,5.3829,0.0031,0,0,0.0571,0.0026,4.0655,0.0001,0.0954
3,64,25.3279,1440,21275,9514,1,0,5.3938,0.0044,0,0.0001,0.0842,0.004,4.1311,0.0004,0.0943
3,65,26.9524,1440,21275,9656,1,0,5.2383,0.003,0,0,0.0539,0.0022,4.0783,0.0001,0.0948
3,66,28.628,1440,21275,9798,1,0,5.6658,0.0051,0,0,0.0726,0.0033,4.4001,0.0002,0.056
3,67,30.3493,1440,21275,9940,1,0,5.6769,0.0028,0,0,0.0467,0.0021,4.054,0,0.0505
3,68,32.1099,1440,21275,10082,1,0,7.0312,0.004,0,0.0001,0.0703,0.0026,5.8408,0.0001,0.0603
3,69,33.9025,1440,21275,10224,1,0,7.0919,0.003,0,0,0.0418,0.0019,4.0566,0.0001,0.0519
3,70,35.7189,1440,21275,10366,1,0,5.3425,0.0028,0,0,0.0352,0.0015,4.0973,0,0.054
3,71,37.55,1440,21275,10508,1,0,5.3872,0.0046,0,0.0001,0.0535,0.0023,4.1385,0.0001,0.0535
3,72,39.3859,1440,21275,10650,1,0,7.6944,0.0027,0,0,0.0364,0.0017,4.0218,0,0.0505
3,73,41.2159,1440,21275,10792,1,0,5.3699,0.0029,0,0,0.0351,0.0015,4.1148,0.0001,0.0594
3,74,43.0287,1440,21275,10934,1,0,5.5277,0.0057,0,0.0001,0.0355,0.0018,4.3116,0,0.0511
3,75,44.8122,1440,21275,11076,1,0,4.9274,0.0031,0,0,0.0355,0.002,4.024,0,0.0553
3,76,46.5543,1440,21275,11218,1,0,5.3415,0.003,0,0,0.0344,0.0018,4.1118,0,0.0516
3,77,48.2421,1440,21275,11360,1,0,5.2402,0.0028,0,0,0.0334,0.0017,4.0211,0,0.0737
3,78,49.8629,1440,21275,11502,1,0,5.0664,0.003,0,0.0001,0.0294,0.0015,4.025,0,0.0515
3,79,51.4039,1440,21275,11644,1,0,4.7827,0.0031,0,0.0001,0.0285,0.0014,4.0681,0,0.0521
3,80,52.8524,1440,21275,11786,1,0,5.0449,0.0026,0,0.0001,0.0274,0.0014,4.0152,0,0.0497
3,81,54.1964,1440,21275,11928,1,0,5.5841,0.0025,0,0,0.0268,0.0012,4.342,0.0001,0.0645
3,82,55.424,1440,21275,12070,1,0,5.9984,0.0027,0,0.0001,0.0299,0.0014,4.5866,0.0001,0.0668
3,83,56.5243,1440,21275,12212,1,0,6.4835,0.0037,0,0.0001,0.0339,0.0018,4.5565,0,0.0561
3,84,57.4875,1440,21275,12354,1,0,5.3202,0.0046,0,0,0.0331,0.0021,4.5674,0,0.0582
3,85,58.3045,1440,21275,12496,1,0,5.9014,0.0053,0,0,0.0325,0.0018,4.6117,0,0.0606
3,86,58.9677,1440,21275,12638,1,0,7.2886,0.0033,0,0.0001,0.035,0.0014,4.5643,0.0001,0.0567
3,87,59.4707,1440,21275,12780,1,0,5.9663,0.0032,0,0,0.0365,0.0014,4.5226,0.0001,0.0577
3,88,59.8088,1440,21275,12922,1,0,5.6682,0.003,0,0,0.0317,0.0014,4.6738,0.0001,0.0589
3,89,59.9787,1440,21275,13064,1,0,5.8052,0.003,0,0,0.0335,0.0014,4.5548,0,0.058
3,90,59.9787,1440,21275,13206,1,0,5.6236,0.0048,0,0,0.033,0.0017,4.6791,0,0.0745
3,91,59.8088,1440,21275,13348,1,0,6.2117,0.0042,0,0.0001,0.043,0.002,4.9893,0.0001,0.0558
3,92,59.4707,1440,21275,13490,1,0,7.1807,0.003,0,0.0001,0.0301,0.0015,5.6735,0.0001,0.0849
3,93,58.9677,1440,21275,13632,1,0,6.61,0.0044,0,0.0001,0.0413,0.0019,5.3426,0.0001,0.06
3,94,58.3045,1440,21275,13774,1,0,5.3091,0.0037,0,0,0.0322,0.0016,4.0871,0,0.0538
3,95,57.4875,1440,21275,13916,1,0,6.0741,0.003,0,0.0001,0.0291,0.0013,4.023,0.0001,0.053
3,96,56.5243,1440,21275,14058,1,0,5.6006,0.0031,0,0,0.0311,0.0014,4.1514,0.0003,0.0757
3,97,55.424,1440,21275,14200,1,0,7.2804,0.0042,0,0.0001,0.0359,0.0022,5.7356,0.0001,0.0939
